resource_id,total_amount
^FUEL1,11994
^AMMO,9106
^LAND2,5190
^LAND1,4116
^SAND1,4060
^OXYGEN,3268
^WATER1,2338
^DUSTY1,2118
^CREATURE1,2112
^CATALYST1,2092
^ROBOT1,2065
^GAS1,1500
^WATER2,1308
^HOT1,1240
^LUSH1,1204
^LAND3,1015
^TOXIC1,998
^LAUNCHSUB,955
^COLD1,873
^ASTEROID2,855
^WATERPLANT,810
^RUINSUB,637
^ASTEROID3,633
^STELLAR2,616
^CAVE2,609
^SPACEGUNK5,512
^GAS3,500
^CAVE1,492
^EX_YELLOW,375
^FUEL2,371
^EX_GREEN,359
^RADIO1,351
^YELLOW2,312
^RED2,283
^FOOD_M_HORROR,281
^FOOD_M_CRAB,279
^ASTEROID1,273
^BP_SALVAGE,242
^BAIT_BASIC,217
^EGG1,207
^BLUE2,179
^SPACEGUNK1,122
^ROCKETSUB,120
^CATALYST2,108
^FOOD_M_MEAT,95
^GRENFUEL1,95
^MICROCHIP,82
^COMPUTER,66
^FOOD_M_GEK,65
^SPACEGUNK3,64
^CASING,62
^FOOD_M_COW,60
^NAV_DATA,56
^FOOD_M_BONE,51
^CARBON_SEAL,46
^FOOD_M_BEETLE,35
^TRA_COMPONENT1,35
^FOOD_M_FLYER,30
^POWERCELL,30
^HYDRALIC,29
^PRODFUEL2,29
^BIO,28
^PLANT_CAVE,28
^FARMPROD3,24
^FOOD_M_CAT,20
^REACTION3,20
^TECHFRAG,20
^ALBUMENPEARL,17
^TRA_TECH1,16
^FOOD_M_DIPLO,15
^MAGNET,14
^SACVENOM,14
^JELLY,11
^MIRROR,10
^NANOTUBES,9
^AM_HOUSING,7
^COMPOUND5,6
^FOOD_P_ALL1,6
^ALLOY2,5
^ALLOY3,5
^FOOD_M_STRIDER,5
^FOOD_P_STELLAR,5
^B_HAB_B,4
^B_STR_A_N,4
^FOOD_P_RADWILD,4
^HYPERFUEL1,4
^QUAD_PROD,4
^REACTION2,4
^REPAIRKIT,4
^TRA_ALLOY5,4
^B_CON_L_3,3
^B_LND_A,3
^GEODE_LAND,3
^LAUNCHFUEL,3
^NIPNIPBUDS,3
^SHIPCHARGE,3
^TECH_COMP,3
^TRA_COMMODITY4,3
^TRA_MINERALS3,3
^TRA_TECH3,3
^BASE_STARJOINT,2
^B_COK_B,2
^B_CON_5,2
^B_CON_7,2
^B_STR_M_NE,2
^FRIGATE_FUEL_3,2
^GEODE_CRYSTAL,2
^TRA_ENERGY5,2
^ALLOY5,1
^BUILD_REFINER1,1
^B_ALK_A,1
^B_CON2_0,1
^B_CON_9,1
^B_CON_L_1,1
^B_DECO_F,1
^B_STR_D_NE,1
^B_STR_G_N,1
^B_STR_P_N,1
^B_TRU_D,1
^B_WNG_A,1
^B_WNG_K,1
^COMPOUND2,1
^EYEBALL,1
^FISHCORE,1
^FOS_HEAD_EJ,1
^FOS_HEAD_HA,1
^FRIGATE_FUEL_1,1
^FRIG_BOOST_EXP,1
^FRIG_BOOST_SPD,1
^FRIG_BOOST_TRA,1
^F_ALL_RARE_S1,1
^NAV_DATA_DROP,1
^SHIP_INV_TOKEN,1
^STONE_EYE_PROD,1
^STORM_CRYSTAL,1
^TRA_CURIO1,1
^U_COLDPROT3,1
^U_EXOLAS4,1
^U_HYPER4,1
^U_HYPERX,1
^U_MECHGUN4,1
^U_PULSEX,1
^U_RAILX,1
^U_SCANNERX,1
^U_SENTGUN,1
^U_SHIPSHIELD1,1
^VENTGEM,1
^WEAP_INV_TOKEN,1
^Å­Ô#00000,1
